warn: LLAMA_ARG_REPACK environment variable is set, but will be overwritten by command line argument --no-repack
0.00.937.805 I 
0.00.937.843 I system_info: n_threads = 8 (n_threads_batch = 8) / 10 | MTL : EMBED_LIBRARY = 1 | CPU : NEON = 1 | ARM_FMA = 1 | FP16_VA = 1 | DOTPROD = 1 | LLAMAFILE = 1 | ACCELERATE = 1 | REPACK = 1 | 
0.00.943.167 I hellaswag_score : loaded 10042 tasks from prompt.
0.00.943.175 I ================================= is_spm = 0
0.00.943.177 I hellaswag_score : selecting 400 randomized tasks.
0.01.093.643 I hellaswag_score : calculating hellaswag score over selected tasks.

task	acc_norm	95% confidence interval
195	75.38461538%	[68.8867%, 80.9017%]
196	75.00000000%	[68.4967%, 80.5422%]
197	74.61928934%	[68.1114%, 80.1854%]
198	74.74747475%	[68.2643%, 80.2886%]
199	74.87437186%	[68.4158%, 80.3908%]
200	75.00000000%	[68.5659%, 80.4918%]
201	75.12437811%	[68.7146%, 80.5919%]
202	75.24752475%	[68.8618%, 80.6909%]
203	75.36945813%	[69.0077%, 80.7889%]
204	75.49019608%	[69.1523%, 80.8859%]
205	75.60975610%	[69.2955%, 80.9819%]
206	75.72815534%	[69.4373%, 81.0770%]
207	75.84541063%	[69.5779%, 81.1711%]
208	75.48076923%	[69.2072%, 80.8302%]
209	75.59808612%	[69.3475%, 80.9247%]
210	75.71428571%	[69.4865%, 81.0182%]
211	75.82938389%	[69.6243%, 81.1108%]
212	75.94339623%	[69.7608%, 81.2025%]
213	76.05633803%	[69.8961%, 81.2934%]
214	76.16822430%	[70.0302%, 81.3833%]
215	75.81395349%	[69.6694%, 81.0523%]
216	75.92592593%	[69.8033%, 81.1425%]
217	75.57603687%	[69.4473%, 80.8150%]
218	75.68807339%	[69.5809%, 80.9056%]
219	75.79908676%	[69.7134%, 80.9953%]
220	75.90909091%	[69.8447%, 81.0842%]
221	76.01809955%	[69.9749%, 81.1722%]
222	76.12612613%	[70.1040%, 81.2595%]
223	76.23318386%	[70.2320%, 81.3459%]
224	76.33928571%	[70.3589%, 81.4315%]
225	76.44444444%	[70.4847%, 81.5164%]
226	76.54867257%	[70.6095%, 81.6004%]
227	76.65198238%	[70.7332%, 81.6838%]
228	76.75438596%	[70.8559%, 81.7663%]
229	76.85589520%	[70.9775%, 81.8481%]
230	76.52173913%	[70.6359%, 81.5362%]
231	76.19047619%	[70.2979%, 81.2262%]
232	75.86206897%	[69.9632%, 80.9184%]
233	75.96566524%	[70.0864%, 81.0026%]
234	76.06837607%	[70.2086%, 81.0861%]
235	75.74468085%	[69.8789%, 80.7823%]
236	75.42372881%	[69.5526%, 80.4805%]
237	75.52742616%	[69.6753%, 80.5652%]
238	75.63025210%	[69.7971%, 80.6492%]
239	75.73221757%	[69.9179%, 80.7324%]
240	75.83333333%	[70.0378%, 80.8149%]
241	75.93360996%	[70.1567%, 80.8968%]
242	76.03305785%	[70.2746%, 80.9779%]
243	76.13168724%	[70.3917%, 81.0583%]
244	75.81967213%	[70.0738%, 80.7652%]
245	75.91836735%	[70.1907%, 80.8459%]
246	76.01626016%	[70.3066%, 80.9259%]
247	76.11336032%	[70.4217%, 81.0052%]
248	76.20967742%	[70.5359%, 81.0839%]
249	76.30522088%	[70.6492%, 81.1619%]
250	76.40000000%	[70.7616%, 81.2393%]
251	76.49402390%	[70.8732%, 81.3161%]
252	76.58730159%	[70.9840%, 81.3922%]
253	76.28458498%	[70.6749%, 81.1080%]
254	76.37795276%	[70.7855%, 81.1844%]
255	76.47058824%	[70.8953%, 81.2602%]
256	76.56250000%	[71.0043%, 81.3353%]
257	76.26459144%	[70.7001%, 81.0555%]
258	76.35658915%	[70.8090%, 81.1309%]
259	76.44787645%	[70.9170%, 81.2057%]
260	76.53846154%	[71.0243%, 81.2799%]
261	76.62835249%	[71.1307%, 81.3535%]
262	76.33587786%	[70.8320%, 81.0786%]
263	76.04562738%	[70.5360%, 80.8053%]
264	76.13636364%	[70.6430%, 80.8800%]
265	76.22641509%	[70.7493%, 80.9541%]
266	76.31578947%	[70.8547%, 81.0276%]
267	76.40449438%	[70.9595%, 81.1005%]
268	76.49253731%	[71.0634%, 81.1729%]
269	76.57992565%	[71.1667%, 81.2447%]
270	76.66666667%	[71.2692%, 81.3160%]
271	76.38376384%	[70.9802%, 81.0498%]
272	76.47058824%	[71.0826%, 81.1213%]
273	76.19047619%	[70.7967%, 80.8574%]
274	76.27737226%	[70.8991%, 80.9291%]
275	76.00000000%	[70.6162%, 80.6674%]
276	76.08695652%	[70.7184%, 80.7393%]
277	76.17328520%	[70.8199%, 80.8107%]
278	76.25899281%	[70.9207%, 80.8815%]
279	76.34408602%	[71.0208%, 80.9518%]
280	76.42857143%	[71.1202%, 81.0216%]
281	76.51245552%	[71.2189%, 81.0909%]
282	76.59574468%	[71.3170%, 81.1597%]
283	76.32508834%	[71.0406%, 80.9045%]
284	76.40845070%	[71.1386%, 80.9734%]
285	76.14035088%	[70.8650%, 80.7204%]
286	76.22377622%	[70.9629%, 80.7895%]
287	76.30662021%	[71.0601%, 80.8582%]
288	76.38888889%	[71.1567%, 80.9264%]
289	76.47058824%	[71.2527%, 80.9940%]
290	76.55172414%	[71.3480%, 81.0613%]
291	76.63230241%	[71.4426%, 81.1280%]
292	76.36986301%	[71.1746%, 80.8803%]
293	76.45051195%	[71.2692%, 80.9472%]
294	76.53061224%	[71.3632%, 81.0137%]
295	76.61016949%	[71.4566%, 81.0797%]
296	76.68918919%	[71.5493%, 81.1452%]
297	76.76767677%	[71.6415%, 81.2103%]
298	76.84563758%	[71.7331%, 81.2749%]
299	76.58862876%	[71.4704%, 81.0324%]
300	76.33333333%	[71.2097%, 80.7911%]
301	76.07973422%	[70.9510%, 80.5512%]
302	76.15894040%	[71.0435%, 80.6172%]
303	75.90759076%	[70.7874%, 80.3791%]
304	75.65789474%	[70.5331%, 80.1423%]
305	75.73770492%	[70.6260%, 80.2091%]
306	75.81699346%	[70.7184%, 80.2754%]
307	75.57003257%	[70.4670%, 80.0410%]
308	75.64935065%	[70.5593%, 80.1075%]
309	75.72815534%	[70.6509%, 80.1735%]
310	75.80645161%	[70.7421%, 80.2391%]
311	75.88424437%	[70.8326%, 80.3043%]
312	75.96153846%	[70.9226%, 80.3690%]
313	76.03833866%	[71.0120%, 80.4333%]
314	76.11464968%	[71.1009%, 80.4972%]
315	76.19047619%	[71.1892%, 80.5606%]
316	76.26582278%	[71.2770%, 80.6237%]
317	76.34069401%	[71.3643%, 80.6863%]
318	76.10062893%	[71.1195%, 80.4587%]
319	76.17554859%	[71.2067%, 80.5215%]
320	76.25000000%	[71.2933%, 80.5839%]
321	76.01246106%	[71.0511%, 80.3585%]
322	75.77639752%	[70.8107%, 80.1343%]
323	75.85139319%	[70.8977%, 80.1974%]
324	75.92592593%	[70.9843%, 80.2600%]
325	76.00000000%	[71.0703%, 80.3223%]
326	76.07361963%	[71.1558%, 80.3841%]
327	76.14678899%	[71.2408%, 80.4456%]
328	76.21951220%	[71.3253%, 80.5067%]
329	76.29179331%	[71.4093%, 80.5674%]
330	76.36363636%	[71.4928%, 80.6277%]
331	76.43504532%	[71.5759%, 80.6877%]
332	76.20481928%	[71.3410%, 80.4692%]
333	76.27627628%	[71.4240%, 80.5293%]
334	76.04790419%	[71.1911%, 80.3124%]
335	76.11940299%	[71.2740%, 80.3726%]
336	76.19047619%	[71.3565%, 80.4324%]
337	75.96439169%	[71.1260%, 80.2175%]
338	75.73964497%	[70.8971%, 80.0037%]
339	75.81120944%	[70.9799%, 80.0641%]
340	75.88235294%	[71.0622%, 80.1242%]
341	75.95307918%	[71.1440%, 80.1839%]
342	76.02339181%	[71.2254%, 80.2432%]
343	76.09329446%	[71.3064%, 80.3022%]
344	75.87209302%	[71.0810%, 80.0918%]
345	75.94202899%	[71.1618%, 80.1509%]
346	75.72254335%	[70.9383%, 79.9419%]
347	75.79250720%	[71.0191%, 80.0011%]
348	75.57471264%	[70.7975%, 79.7935%]
349	75.64469914%	[70.8782%, 79.8528%]
350	75.71428571%	[70.9585%, 79.9118%]
351	75.78347578%	[71.0383%, 79.9704%]
352	75.85227273%	[71.1177%, 80.0287%]
353	75.63739377%	[70.8990%, 79.8238%]
354	75.70621469%	[70.9783%, 79.8822%]
355	75.77464789%	[71.0572%, 79.9403%]
356	75.84269663%	[71.1357%, 79.9980%]
357	75.63025210%	[70.9194%, 79.7954%]
358	75.69832402%	[70.9978%, 79.8532%]
359	75.76601671%	[71.0758%, 79.9107%]
360	75.55555556%	[70.8616%, 79.7098%]
361	75.34626039%	[70.6488%, 79.5099%]
362	75.41436464%	[70.7271%, 79.5679%]
363	75.48209366%	[70.8049%, 79.6256%]
364	75.54945055%	[70.8824%, 79.6829%]
365	75.61643836%	[70.9594%, 79.7399%]
366	75.68306011%	[71.0360%, 79.7966%]
367	75.74931880%	[71.1122%, 79.8529%]
368	75.81521739%	[71.1881%, 79.9090%]
369	75.88075881%	[71.2635%, 79.9647%]
370	75.94594595%	[71.3385%, 80.0202%]
371	76.01078167%	[71.4132%, 80.0753%]
372	76.07526882%	[71.4874%, 80.1301%]
373	76.13941019%	[71.5613%, 80.1846%]
374	76.20320856%	[71.6348%, 80.2388%]
375	76.26666667%	[71.7079%, 80.2928%]
376	76.32978723%	[71.7806%, 80.3464%]
377	76.12732095%	[71.5742%, 80.1534%]
378	76.19047619%	[71.6469%, 80.2071%]
379	76.25329815%	[71.7192%, 80.2606%]
380	76.31578947%	[71.7911%, 80.3137%]
381	76.37795276%	[71.8627%, 80.3666%]
382	76.43979058%	[71.9340%, 80.4191%]
383	76.50130548%	[72.0048%, 80.4714%]
384	76.56250000%	[72.0754%, 80.5235%]
385	76.62337662%	[72.1455%, 80.5752%]
386	76.68393782%	[72.2153%, 80.6267%]
387	76.74418605%	[72.2848%, 80.6779%]
388	76.80412371%	[72.3539%, 80.7288%]
389	76.86375321%	[72.4227%, 80.7794%]
390	76.92307692%	[72.4911%, 80.8298%]
391	76.72634271%	[72.2901%, 80.6426%]
392	76.78571429%	[72.3585%, 80.6930%]
393	76.84478372%	[72.4266%, 80.7433%]
394	76.90355330%	[72.4943%, 80.7932%]
395	76.96202532%	[72.5617%, 80.8429%]
396	77.02020202%	[72.6288%, 80.8924%]
397	77.07808564%	[72.6956%, 80.9416%]
398	77.13567839%	[72.7620%, 80.9905%]
399	77.19298246%	[72.8281%, 81.0392%]
400	77.25000000%	[72.8939%, 81.0877%]


